avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
10.0,10.0,2021-02-13,1.0,10.0,6028683decdd910025cab8d5,10.0,10.0,10.0,0.0,3.3,Fatal Acceleration,10.0,Uncommon,2.0,10.0
12.5,10.0,2021-02-12,8.0,15.0,602716fbecdd910025c9bcde,15.0,10.0,10.0,0.0,10.9,Fatal Teleport,12.0,Rare,5.0,11.4
4.0,4.0,2021-02-10,3.0,5.0,602473cfecdd910025c7c7ee,4.0,4.0,4.0,0.0,3.7,Ferocity,4.0,Rare,1.0,4.0
4.0,4.0,2021-02-12,1.0,4.0,602716a0ecdd910024cb3347,4.0,4.0,4.0,0.0,2.4,Fever Strike,4.0,Uncommon,1.0,4.0
3.0,3.0,2021-02-01,1.0,4.0,60189624ecdd910022bff86f,3.0,3.0,3.0,0.0,3.0,Finishing Touch,3.0,Uncommon,1.0,3.0
10.0,10.0,2021-02-09,10.0,13.0,60232232ecdd910025c6c224,10.0,10.0,10.0,0.0,12.2,Fireball Frenzy,10.0,Rare,1.0,10.0
2.0,2.0,2021-02-07,2.0,8.0,60207f1cecdd910025c4ca02,2.0,2.0,2.0,0.0,4.6,Fired Up,2.0,Rare,1.0,2.0
2.0,2.0,2021-02-13,2.0,2.0,60286836ecdd910023cc6cd8,2.0,2.0,2.0,0.0,2.0,Firewalker,2.0,Rare,1.0,2.0
9.0,9.0,2021-02-13,5.0,14.0,60286803ecdd910024cc38e2,9.0,9.0,9.0,0.0,9.4,Flame Gland,9.0,Rare,1.0,9.0
10.0,10.0,2021-01-29,10.0,10.0,6014a1b2ecdd910023bd9110,10.0,10.0,10.0,5.0,,Flame Repellent,10.0,Common,2.0,10.0
4.0,4.0,2021-01-09,4.0,4.0,5ffa4389ecdd910023aa4c00,4.0,4.0,4.0,5.0,,Flechette,4.0,Common,1.0,4.0
22.5,23.0,2021-02-13,9.0,44.0,6028681cecdd910024cc3b86,28.0,22.0,17.0,5.0,24.1,Fleeting Expertise,20.0,Rare,15.0,22.133
1.5,2.0,2021-02-13,1.0,5.0,60286819ecdd910024cc3b13,2.0,2.0,1.0,0.0,2.2,Flow,2.0,Rare,9.0,1.556
13.5,15.0,2021-02-13,10.0,15.0,6028684decdd910025cabbf9,15.0,15.0,12.0,3.0,12.0,Focus Energy,15.0,Rare,4.0,14.25
7.5,7.0,2021-02-10,4.0,8.0,602473f7ecdd910025c7ce28,8.0,7.5,7.0,0.0,5.3,Focused Defense,8.0,Common,2.0,7.5
10.0,10.0,2021-02-13,5.0,10.0,60286823ecdd910025cab460,10.0,10.0,10.0,0.0,9.1,Fomorian Accelerant,10.0,Uncommon,1.0,10.0
5.0,5.0,2021-02-11,3.0,10.0,6025c525ecdd910024ca37c2,5.0,5.0,5.0,3.0,6.1,Fortitude,5.0,Rare,1.0,5.0
14.5,14.0,2021-02-10,12.0,15.0,602473cdecdd910025c7c78c,15.0,15.0,14.0,0.0,14.5,Fracturing Crush,15.0,Rare,4.0,14.75
3.0,2.0,2021-02-13,2.0,5.0,60286840ecdd910025cab966,4.0,3.0,2.0,0.0,3.6,Frail Momentum,2.0,Rare,7.0,3.0
14.0,14.0,2021-02-03,8.0,14.0,601b3914ecdd910023c29594,14.0,14.0,14.0,0.0,13.0,Freeze Force,14.0,Rare,1.0,14.0
15.0,15.0,2021-02-13,8.0,15.0,60286839ecdd910023cc6d46,15.0,15.0,15.0,3.0,13.0,Frigid Blast,15.0,Rare,1.0,15.0
5.0,4.0,2021-02-13,4.0,8.0,60286803ecdd910024cc38d6,6.0,6.0,4.0,0.0,4.8,Frost Jaw,6.0,Rare,4.0,5.5
14.0,10.0,2021-02-13,10.0,20.0,60286850ecdd910025cabcc1,18.0,14.5,10.0,3.0,15.1,Frostbite,14.0,Rare,4.0,14.25
4.0,4.0,2021-02-09,2.0,4.0,60232243ecdd910022c7e4a6,4.0,4.0,4.0,0.0,3.6,Full Contact,4.0,Rare,1.0,4.0
17.5,20.0,2021-02-12,15.0,50.0,60271688ecdd910023cb6e76,20.0,17.5,15.0,0.0,30.6,Fulmination,15.0,Rare,2.0,17.5
10.0,10.0,2021-02-13,10.0,16.0,6028682becdd910025cab5da,10.0,10.0,10.0,3.0,15.2,Funnel Clouds,10.0,Rare,1.0,10.0
79.0,79.0,2021-02-13,10.0,79.0,6028683eecdd910024cc3fd9,79.0,79.0,79.0,3.0,26.4,Furious Javelin,79.0,Rare,1.0,79.0
696969.0,696969.0,2021-02-13,2.0,696969.0,6028685fecdd910025cabf83,696969.0,696969.0,696969.0,0.0,139396.4,Fury,696969.0,Uncommon,12.0,696969.0
25.0,25.0,2021-02-12,19.0,40.0,6027168decdd910022cacf99,25.0,25.0,25.0,3.0,23.8,Gale Kick,25.0,Rare,1.0,25.0
10.0,10.0,2021-02-11,10.0,20.0,6025c51eecdd910022c9ceea,10.0,10.0,10.0,3.0,14.6,Gilded Truth,10.0,Rare,2.0,10.0
12.0,12.0,2021-02-13,10.0,13.0,60286803ecdd910023cc656f,12.0,12.0,12.0,0.0,11.8,Greedy Pull,12.0,Rare,2.0,12.0
2.0,2.0,2021-02-13,1.0,5.0,60286842ecdd910024cc406a,2.0,2.0,2.0,0.0,2.8,Guardian Derision,2.0,Rare,2.0,2.0
10.0,10.0,2021-02-13,10.0,14.0,60286857ecdd910022cbd30a,10.0,10.0,10.0,3.0,11.5,Guided Effigy,10.0,Rare,1.0,10.0
2.0,2.0,2021-02-11,1.0,3.0,6025c53cecdd910024ca3bad,2.0,2.0,2.0,0.0,2.0,Gunslinger,2.0,Uncommon,1.0,2.0
12.5,10.0,2021-02-13,10.0,20.0,60286840ecdd910024cc4020,15.0,10.0,10.0,3.0,14.3,Hall Of Malevolence,15.0,Rare,3.0,11.667
40.0,40.0,2021-02-13,10.0,40.0,60286829ecdd910023cc6aae,40.0,40.0,40.0,3.0,25.8,Hallowed Eruption,40.0,Rare,1.0,40.0
12.0,12.0,2021-02-13,10.0,14.0,6028683eecdd910025cab92a,12.0,12.0,12.0,0.0,11.8,Hallowed Reckoning,12.0,Rare,1.0,12.0
4.5,4.0,2021-02-13,3.0,7.0,60286842ecdd910024cc405f,5.0,5.0,4.0,0.0,4.6,Handspring,5.0,Rare,8.0,4.625
25.0,30.0,2021-01-09,20.0,30.0,5ffa441aecdd910025a8dc42,30.0,25.0,20.0,0.0,,Hard Engage,20.0,Rare,2.0,25.0
7.5,10.0,2021-02-10,5.0,20.0,602473e5ecdd910023c979bf,10.0,7.5,5.0,0.0,7.9,Hastened Deflection,5.0,Uncommon,2.0,7.5
19.0,19.0,2021-01-11,2.0,30.0,5ffce6c3ecdd910022ab8db4,19.0,19.0,19.0,0.0,,Hawk Eye,19.0,Uncommon,1.0,19.0
